"STUID","State","District","Gender","Age","Category","Same.language","Siblings","Handicap","Father.edu","Mother.edu","Father.occupation","Mother.occupation","Below.poverty","Use.calculator","Use.computer","Use.Internet","Use.dictionary","Read.other.books","X..Books","Distance","Computer.use","Library.use","Like.school","Subjects","Give.Lang.HW","Give.Math.HW","Give.Scie.HW","Give.SoSc.HW","Correct.Lang.HW","Correct.Math.HW","Correct.Scie.HW","Correct.SocS.HW","Help.in.Study","Private.tuition","English.is.difficult","Read.English","Dictionary.to.learn","Answer.English.WB","Answer.English.aloud","Maths.is.difficult","Solve.Maths","Solve.Maths.in.groups","Draw.geometry","Explain.answers","SocSci.is.difficult","Historical.excursions","Participate.in.SocSci","Small.groups.in.SocSci","Express.SocSci.views","Science.is.difficult","Observe.experiments","Conduct.experiments","Solve.science.problems","Express.science.views","Watch.TV","Read.magazine","Read.a.book","Play.games","Help.in.household","Maths..","Reading..","Science..","Social.."
26051081039,"Maharashtra",5,"Girl","14 years",1,1,"2 siblings","No","Secondary","Primary","Labourer","Labourer","No","No","No","No","Yes","Yes","1-10 books","1-3 km","Once in month","Once in a week","Yes","Language","Everyday","Everyday","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Neither","Neither","Agree","Disagree","Agree","Agree","Neither","Neither","Disagree","Agree","Disagree","Disagree","Neither","Every day","Every day","Never","Once a week","Every day",NA,NA,47.27,34.69
26051081040,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Primary","Secondary","Labourer","Unemployed","No","No","No","No","Yes","Yes","1-10 books","1-3 km","Once in month","Once in a week","Yes","Language","Everyday","Everyday","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Neither","Neither","Neither","Agree","Disagree","Agree","Agree","Neither","Neither","Disagree","Agree","Disagree","Disagree","Neither","Every day","Once a week","Never","Once a week","Every day",NA,NA,40,48.98
26051083001,"Maharashtra",5,"Girl","15 years",3,1,"2 siblings","No","Primary","Primary","Farmer","","","","","","","","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","Never","Never","Never","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Neither","Neither","","Agree","","","","Agree","Agree","Agree","Disagree","","Every day","Once a week","Never","Every day","Every day",6.78,23.33,NA,NA
26051083002,"Maharashtra",5,"Girl","14 years",3,1,"1 sibling","No","Illiterate","Primary","Farmer","Farmer","Yes","","","","","","1-10 books","Up to 1 km","Daily","No library","No","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Agree","Neither","Neither","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","","","Disagree","Once a week","Every day","Every day","Every day","Every day",12.28,6.9,NA,NA
26051083003,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Primary","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Neither","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Every day","Every day",NA,NA,27.27,32.65
26051083004,"Maharashtra",5,"Girl","14 years",3,1,"1 sibling","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",NA,NA,29.09,32.65
26051083005,"Maharashtra",5,"Girl","14 years",1,1,"1 sibling","No","Secondary","Illiterate","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",13.56,20,NA,NA
26051083006,"Maharashtra",5,"Girl","15 years",3,1,"Single child","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",14.04,51.72,NA,NA
26051083007,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",NA,NA,25.45,24.49
26051083008,"Maharashtra",5,"Girl","14 years",1,1,"2 siblings","No","Primary","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Mathematics","Everyday","Never","Never","Never","3-4 times a week","Never","Never","Never","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Disagree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Never","Every day","Every day",NA,NA,20,44.9
26051083009,"Maharashtra",5,"Girl","14 years",3,1,"3 siblings","No","Secondary","Primary","Labourer","Labourer","Yes","No","No","No","Yes","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",16.95,20,NA,NA
26051083010,"Maharashtra",5,"Girl","14 years",3,1,"1 sibling","No","Secondary","Sr secondary","Business","","No","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","Never use","Yes","Language","3-4 times a week","Everyday","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Neither","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Every day","Every day","Every day","Every day","Every day",19.3,48.28,NA,NA
26051083011,"Maharashtra",5,"Girl","15 years",3,1,"3 siblings","No","Primary","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Neither","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Every day","Every day",NA,NA,29.09,28.57
26051083012,"Maharashtra",5,"Boy","14 years",3,1,"Single child","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",NA,NA,30.91,30.61
26051083013,"Maharashtra",5,"Boy","14 years",3,1,"2 siblings","No","Primary","Primary","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",23.73,86.67,NA,NA
26051083014,"Maharashtra",5,"Boy","14 years",3,1,"2 siblings","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",28.07,31.03,NA,NA
26051083015,"Maharashtra",5,"Boy","14 years",1,1,"2 siblings","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",NA,NA,49.09,55.1
26051083016,"Maharashtra",5,"Boy","14 years",3,1,"1 sibling","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",NA,NA,41.82,53.06
26051083017,"Maharashtra",5,"Boy","14 years",1,1,"2 siblings","No","Secondary","Illiterate","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",22.03,NA,30.91,NA
26051083018,"Maharashtra",5,"Boy","14 years",1,1,"2 siblings","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",57.89,90,NA,NA
26051083019,"Maharashtra",5,"Boy","16+ years",3,1,"1 sibling","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",NA,51.72,NA,36.73
26051083020,"Maharashtra",5,"Boy","13 years",3,1,"1 sibling","No","Primary","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Mathematics","Everyday","Never","Never","Never","3-4 times a week","Never","Never","Never","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Disagree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Never","Every day","Every day",NA,NA,36.36,59.18
26051083021,"Maharashtra",5,"Boy","14 years",4,2,"4+ siblings","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",32.2,73.33,NA,NA
26051083022,"Maharashtra",5,"Boy","14 years",1,1,"Single child","No","Secondary","Illiterate","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",35.09,68.97,NA,NA
26051083023,"Maharashtra",5,"Boy","13 years",2,1,"1 sibling","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",NA,NA,29.09,46.94
26051083024,"Maharashtra",5,"Girl","15 years",1,1,"2 siblings","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",NA,NA,21.82,30.61
26051083025,"Maharashtra",5,"Girl","14 years",3,1,"3 siblings","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",40.68,33.33,NA,NA
26051083026,"Maharashtra",5,"Girl","14 years",1,1,"2 siblings","No","Primary","Illiterate","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",19.3,NA,23.64,NA
26051083027,"Maharashtra",5,"Girl","14 years",3,1,"3 siblings","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",NA,NA,23.64,20.41
26051083028,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",NA,30,NA,26.53
26051083029,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",23.73,34.48,NA,NA
26051083030,"Maharashtra",5,"Girl","13 years",2,1,"1 sibling","No","Primary","Illiterate","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",24.56,31.03,NA,NA
26051083031,"Maharashtra",5,"Boy","14 years",3,1,"1 sibling","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",NA,NA,5.45,51.02
26051083032,"Maharashtra",5,"Boy","14 years",3,1,"2 siblings","No","Secondary","Illiterate","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",NA,NA,25.45,26.53
26051083033,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",20.34,24.14,NA,NA
26051083034,"Maharashtra",5,"Girl","13 years",1,1,"2 siblings","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",22.81,NA,23.64,NA
26051083035,"Maharashtra",5,"Boy","15 years",2,1,"2 siblings","No","Illiterate","Primary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Mathematics","Everyday","Never","Never","Never","3-4 times a week","Never","Never","Never","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Disagree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Never","Every day","Every day",NA,73.33,NA,34.69
26051083036,"Maharashtra",5,"Girl","14 years",3,1,"3 siblings","No","Primary","Primary","","Labourer","Yes","Yes","No","No","No","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a week","Never","Once a week","Every day",NA,NA,45.45,46.94
26051083037,"Maharashtra",5,"Boy","14 years",3,1,"1 sibling","No","Primary","Primary","Skilled Worker","","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","Neither","Disagree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Every day","Every day","Every day","Every day",25.42,41.38,NA,NA
26051083038,"Maharashtra",5,"Girl","14 years",1,1,"1 sibling","No","Illiterate","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Once in a week","No library","Yes","Language","3-4 times a week","3-4 times a week","3-4 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",21.05,NA,32.73,NA
26051083039,"Maharashtra",5,"Girl","14 years",3,1,"3 siblings","No","Illiterate","Sr secondary","Skilled Worker","Labourer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Language","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Every day","Once a month","Every day","Every day","Every day",NA,NA,25.45,24.49
26051083040,"Maharashtra",5,"Girl","13 years",1,1,"2 siblings","No","Sr secondary","Secondary","Farmer","Farmer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","No library","Yes","Social Science","1-2 times a week","Everyday","3-4 times a week","Never","1-2 times a week","1-2 times a week","Never","1-2 times a week","Yes","No","Disagree","No","Disagree","Disagree","Agree","Neither","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Every day","Once a week","Never","Once a week","Every day",NA,86.67,NA,61.22
26051084001,"Maharashtra",5,"Girl","14 years",1,1,"1 sibling","No","Secondary","Secondary","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Never use","No library","Yes","Language","Everyday","Everyday","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Agree","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Every day","Once a week","Once a week","Once a week","Every day",45.76,83.33,NA,NA
26051084002,"Maharashtra",5,"Girl","14 years",2,1,"3 siblings","No","Primary","Illiterate","","Farmer","Yes","No","No","No","Yes","","No books","Up to 1 km","Never use","No library","Yes","Language","Everyday","Everyday","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Neither","Disagree","Disagree","Agree","Agree","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Every day","Once a week","Once a week","Every day","Every day",31.58,79.31,NA,NA
26051084003,"Maharashtra",5,"Girl","14 years",3,1,"3 siblings","No","Primary","Secondary","Farmer","Farmer","Yes","","","","","Yes","25+ books","Up to 1 km","Never use","No library","Yes","Language","Everyday","Everyday","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Once a week","Once a week","Once a week","Every day","Never",NA,NA,34.55,34.69
26051084004,"Maharashtra",5,"Girl","14 years",3,1,"2 siblings","No","Secondary","Secondary","Farmer","Farmer","No","","","","","","No books","Up to 1 km","Never use","Never use","Yes","Language","Everyday","Everyday","3-4 times a week","3-4 times a week","Never","3-4 times a week","Never","Never","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Once a week","Once a week","Once a week","Every day","Never",NA,NA,23.64,32.65
26051084005,"Maharashtra",5,"Girl","16+ years",NA,1,"2 siblings","No","Primary","Illiterate","Unemployed","Farmer","Yes","","","","","Yes","1-10 books","1-3 km","Never use","Once in a week","Yes","Language","Everyday","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","Everyday","No","No","Agree","yes","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Once a week","Once a week","Every day","Once a month","Every day",22.03,20,NA,NA
26051084006,"Maharashtra",5,"Girl","14 years",2,1,"1 sibling","No","Illiterate","Illiterate","Farmer","Farmer","Yes","","","","","","No books","Up to 1 km","Never use","No library","Yes","Language","Everyday","Everyday","3-4 times a week","3-4 times a week","1-2 times a week","3-4 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","yes","Agree","Agree","Agree","Disagree","Neither","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Every day","Once a week","Once a month","Every day","Every day",38.6,58.62,NA,NA
